country,Region indicator,"Life ladder, 2015-2017","Standard error, life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Standard error, social support, 2015-2017","Freedom to make life choices, 2015-2017","Standard error, freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017","Standard error, perceptions of corruption, 2015-2017"
Belarus,Commonwealth of Independent States,5.48332643508911,0.037971056997776,9.73315715789795,16867.72265625,66.0305099487305,0.917586326599121,0.0057532200589776,0.632646799087524,0.0105059910565615,0.21748723089695,0.00847428664565086,0.661701798439026,0.0105281611904502
Belgium,Western Europe,6.9268856048584,0.0347195900976658,10.6476554870605,42093.7890625,72.1429290771484,0.911503732204437,0.00672144303098321,0.864310026168823,0.00799296144396067,0.421579718589783,0.0109771750867367,0.502901017665863,0.0100701646879315
Belize,Latin America and Caribbean,5.95564651489258,0.123082891106606,8.98788261413574,8005.48828125,58.9239082336426,0.755414307117462,0.0226279012858868,0.872770309448242,0.0175602678209543,0.286091297864914,0.0227342881262302,0.783099353313446,0.0193730592727661
Benin,Sub-Saharan Africa,4.14136409759521,0.0579546168446541,7.61031341552734,2018.91076660156,51.5617980957031,0.457777112722397,0.0117148598656058,0.744072258472443,0.0103271985426545,0.149063423275948,0.0084221139550209,0.823281526565552,0.00860959850251675
Bhutan,South Asia,5.08212852478027,0.057889349758625,8.95458793640137,7743.33642578125,60.567943572998,0.850920915603638,0.0142769636586308,0.829656422138214,0.01480458304286,0.563592195510864,0.0191324260085821,0.63132780790329,0.01897450722754
Bolivia,Latin America and Caribbean,5.75188970565796,0.0459604784846306,8.80925273895264,6695.91357421875,59.9957885742188,0.805337011814117,0.00878204312175512,0.88369345664978,0.00721999583765864,0.209027826786041,0.00909545738250017,0.847298145294189,0.006828548386693
Bosnia and Herzegovina,Central and Eastern Europe,5.12935400009155,0.0483084507286549,9.33534812927246,11331.572265625,67.8382720947266,0.74608314037323,0.00916943047195673,0.609956622123718,0.0103636169806123,0.363586843013763,0.00991212856024504,0.94665253162384,0.00443005468696356
Botswana,Sub-Saharan Africa,3.58982872962952,0.0583595670759678,9.66183853149414,15706.6357421875,57.1057052612305,0.785132467746735,0.00939676444977522,0.842526435852051,0.008382398635149,0.119786821305752,0.00710709253326058,0.776348769664764,0.00907889194786549
Brazil,Latin America and Caribbean,6.41889047622681,0.0491100288927555,9.56330871582031,14232.861328125,65.2441329956055,0.908001840114594,0.00549343228340149,0.789254188537598,0.00867223087698221,0.217360466718674,0.00855716224759817,0.784572958946228,0.00792969018220901
Bulgaria,Central and Eastern Europe,4.93312454223633,0.045322522521019,9.7834415435791,17737.591796875,66.4154891967773,0.924724042415619,0.00593066401779652,0.675944566726685,0.0105271879583597,0.162422731518745,0.00763319386169314,0.929407775402069,0.00533464178442955
Burkina Faso,Sub-Saharan Africa,4.42439126968384,0.0473378300666809,7.40432596206665,1643.07702636719,51.9911003112793,0.753720283508301,0.00979263056069613,0.636307597160339,0.0110867312178016,0.152457877993584,0.00802781898528337,0.710499942302704,0.0102202743291855
Burundi,Sub-Saharan Africa,2.90453505516052,0.0865767151117325,6.68857002258301,803.172912597656,48.5685577392578,0.561732590198517,0.0184238776564598,0.428722262382507,0.0184331424534321,0.0543934032320976,0.00823575910180807,0.806447207927704,0.0153891304507852
Cambodia,Southeast Asia,4.43258810043335,0.0526260286569595,8.15907573699951,3494.95483398438,58.3711280822754,0.750254333019257,0.00824019219726324,0.959941327571869,0.00377634097822011,0.336479425430298,0.00945529900491238,0.82680344581604,0.00727982306852937
Cameroon,Sub-Saharan Africa,4.9753270149231,0.058654997497797,8.114089012146,3341.21240234375,49.735164642334,0.669572830200195,0.0106176743283868,0.755737602710724,0.00980846490710974,0.22044625878334,0.00953288283199072,0.866538763046265,0.00719171343371272
Canada,North America and ANZ,7.32852840423584,0.0470588393509388,10.6697816848755,43035.546875,72.190803527832,0.931540191173553,0.00701795145869255,0.923505961894989,0.0106060411781073,0.625681042671204,0.0150140384212136,0.409655749797821,0.0162258632481098
